1,0,1,0,1,1
1,0,1,0,1,1
1,0,1,0,1,2
1,0,1,0,1,0
1,0,1,0,1,1
1,0,1,0,1,0
1,0,1,0,1,1
1,0,1,0,1,1
1,0,1,0,1,1
2,3,5,0,19,1
2,0,17,3,1,1
2,0,13,3,6,1
2,0,18,3,5,0
2,3,3,3,7,0
2,0,20,3,2,1
2,0,16,3,8,1
2,0,19,1,12,1
2,1,9,0,15,2
2,0,14,1,10,2
3,6,1,3,10,1
3,3,6,4,2,0
3,3,13,1,19,0
3,1,18,3,15,1
3,3,9,3,8,2
3,4,3,3,11,2
3,3,12,4,5,1
3,1,16,3,7,0
3,0,20,4,4,0
3,1,17,3,14,0
4,6,4,6,2,2
4,5,7,4,8,1
4,3,16,1,20,0
4,4,14,4,12,1
4,3,15,2,17,0
4,4,13,6,3,0
4,6,1,6,5,2
4,2,19,4,11,0
4,5,6,4,10,1
4,4,9,2,18,1
5,5,10,8,3,0
5,6,7,6,9,0
5,4,14,2,20,2
5,8,2,3,17,1
5,7,5,6,8,1
5,8,4,4,16,1
5,5,11,4,15,2
5,9,1,5,12,0
5,3,18,4,13,0
5,7,6,2,19,1
6,11,2,7,7,1
6,5,13,5,12,1
6,5,14,10,6,1
6,7,9,11,3,2
6,7,8,4,16,2
6,3,19,10,5,1
6,4,18,4,17,1
6,6,11,11,1,2
6,6,10,5,15,0
6,2,20,10,4,0
7,5,18,9,7,2
7,7,10,3,20,2
7,4,19,7,13,0
7,7,12,11,4,0
7,11,3,7,15,0
7,14,2,6,17,0
7,6,16,8,8,0
7,10,5,8,9,2
7,10,6,7,11,0
7,14,1,7,14,0
8,12,4,5,20,1
8,11,6,7,15,0
8,8,13,8,11,2
8,8,12,11,7,1
8,8,10,10,8,2
8,9,9,7,16,2
8,6,18,5,19,0
8,12,5,15,2,1
8,7,17,12,3,1
8,8,14,15,1,0
9,18,1,12,6,1
9,8,15,11,10,1
9,8,17,9,13,0
9,11,8,7,18,0
9,11,9,12,7,1
9,16,2,15,3,2
9,8,16,6,19,1
9,9,14,10,12,1
9,5,20,12,5,2
9,10,11,13,4,2
10,6,19,15,6,2
10,12,9,10,15,1
10,10,16,11,11,1
10,15,5,16,3,1
10,18,2,14,7,1
10,16,4,9,17,2
10,11,13,5,20,1
10,8,18,18,1,2
10,12,8,12,10,0
10,10,14,11,12,2
11,24,1,14,8,1
11,13,11,15,6,1
11,13,12,14,10,1
11,15,7,10,17,1
11,16,4,5,20,1
11,21,2,10,16,1
11,13,13,11,15,1
11,8,18,16,5,1
11,6,19,14,9,0
11,18,3,12,14,1
12,18,5,7,19,1
12,11,16,24,2,2
12,15,11,21,3,1
12,14,12,19,4,2
12,10,18,24,1,2
12,16,8,18,6,1
12,10,17,16,9,1
12,14,13,16,10,1
12,12,14,16,7,2
12,5,20,11,15,0
13,28,1,7,20,0
13,19,5,17,10,1
13,7,19,12,16,2
13,18,8,18,7,1
13,22,3,19,6,0
13,27,2,10,18,1
13,16,12,13,14,0
13,12,15,14,13,1
13,16,11,18,9,0
13,21,4,11,17,1
14,21,6,17,10,1
14,7,20,7,19,1
14,15,14,28,2,1
14,19,9,15,13,2
14,14,16,30,1,2
14,10,18,23,4,2
14,20,8,17,12,2
14,14,15,22,5,1
14,17,11,24,3,1
14,11,17,21,7,2
15,21,8,23,6,2
15,11,17,22,7,0
15,10,19,33,1,2
15,18,13,17,15,1
15,14,16,24,5,2
15,10,18,7,20,0
15,17,14,18,12,2
15,20,10,26,3,1
15,19,11,28,2,1
15,20,9,24,4,1
16,31,2,17,14,1
16,23,6,23,7,0
16,8,20,12,17,1
16,27,3,10,19,2
16,26,4,22,10,1
16,24,5,21,12,1
16,36,1,23,8,1
16,21,11,11,18,1
16,17,15,14,16,1
16,23,9,21,13,1
17,34,2,24,9,1
17,11,19,23,10,0
17,21,12,39,1,0
17,20,14,13,17,1
17,14,16,21,13,1
17,17,15,22,11,1
17,26,6,11,20,1
17,24,7,24,8,0
17,12,18,29,3,1
17,27,4,27,5,2
18,26,7,18,16,0
18,13,18,15,17,1
18,21,14,25,8,0
18,30,3,20,15,1
18,22,13,29,5,1
18,29,4,22,12,1
18,11,20,23,11,1
18,24,9,12,19,1
18,40,1,27,6,2
18,24,10,34,2,0
19,16,17,21,15,0
19,22,13,22,14,1
19,23,12,12,20,1
19,16,18,27,7,1
19,25,10,26,9,2
19,32,4,26,8,1
19,30,5,35,2,1
19,40,1,33,3,1
19,29,6,18,16,1
19,25,11,14,19,0
20,38,2,35,3,1
20,29,7,43,1,2
20,12,20,32,6,2
20,22,14,16,18,2
20,33,5,26,10,0
20,18,17,19,16,0
20,15,19,33,4,1
20,27,8,25,13,1
20,26,9,25,12,1
20,21,15,26,11,1
21,39,2,36,3,0
21,34,5,26,11,1
21,19,18,25,12,2
21,18,19,19,17,0
21,30,7,46,1,0
21,24,14,20,16,1
21,25,12,39,2,1
21,27,10,29,9,1
21,19,17,19,18,0
